DISTRICT,sdistrict,village,ID,xcoord,ycoord
Yogyakarta,Tegalrejo,Kricak,"1",110.35711402917,-7.77416633953124
Yogyakarta,Tegalrejo,Karangwaru,"2",110.364002935283,-7.77413569973561
Yogyakarta,Tegalrejo,Bener,"3",110.353689343317,-7.7777080562456
Yogyakarta,Jetis,Cokrodiningratan,"4",110.367167992144,-7.77903962714472
Yogyakarta,Gondokusuman,Terban,"5",110.375249590456,-7.77937189271158
Yogyakarta,Gondokusuman,Klitren,"6",110.383137288202,-7.7840446610838
Yogyakarta,Gondokusuman,Demangan,"7",110.388303113092,-7.78611482378093
Yogyakarta,Jetis,Bumijo,"8",110.35917098894,-7.78498244617219
Yogyakarta,Tegalrejo,Tegalrejo,"9",110.352901296798,-7.78781887754894
Yogyakarta,Jetis,Gowongan,"10",110.36641341901,-7.78529965603425
Yogyakarta,Gondokusuman,Kotabaru,"11",110.373713997206,-7.78625894484671
Yogyakarta,Gedongtengen,Sosromenduran,"12",110.363370288114,-7.79140539267604
Yogyakarta,Gondokusuman,Baciro,"13",110.385171879978,-7.79214045514609
Yogyakarta,Umbulharjo,Mujamuju,"14",110.393060960989,-7.79904591037109
Yogyakarta,Danurejan,Bausasran,"15",110.375582424567,-7.79301478113741
Yogyakarta,Gedongtengen,Pringgokusuman,"16",110.358543524914,-7.79237508193436
Yogyakarta,Danurejan,Tegalpanggung,"17",110.371224704722,-7.79270743214529
Yogyakarta,Danurejan,Suryatmajan,"18",110.3676043559,-7.79366519903254
Yogyakarta,Wirobrajan,Pakuncen,"19",110.351726806874,-7.7972297822569
Yogyakarta,Umbulharjo,Semaki,"20",110.384221430955,-7.79824246755999
Yogyakarta,Gondomanan,Ngupasan,"21",110.36531677771,-7.80005042443143
Yogyakarta,Pakualaman,Purwokinanti,"22",110.373530279365,-7.79897755159536
Yogyakarta,Pakualaman,Gunungketur,"23",110.377589744565,-7.80107321076856
Yogyakarta,Wirobrajan,Wirobrajan,"24",110.35021010899,-7.80454406363769
Yogyakarta,Ngampilan,Notoprajan,"25",110.356875058722,-7.8039162035733
Yogyakarta,Gondomanan,Prawirodirjan,"26",110.369623857882,-7.80455405427362
Yogyakarta,Mergangsan,Wirogunan,"27",110.376741701617,-7.80807149981607
Yogyakarta,Umbulharjo,Tahunan,"28",110.383372873391,-7.8065989370151
Yogyakarta,Umbulharjo,Warungboto,"29",110.390302013435,-7.80861395623408
Yogyakarta,Kotagede,Rejowinangun,"30",110.398976632313,-7.81068407387511
Yogyakarta,Kraton,Panembahan,"31",110.366132516056,-7.80914542435172
Yogyakarta,Kraton,Kadipaten,"32",110.359241613841,-7.80697304550515
Yogyakarta,Wirobrajan,Patangpuluhan,"33",110.348829563562,-7.81012301149393
Yogyakarta,Mergangsan,Keparakan,"34",110.371731721092,-7.81168179092359
Yogyakarta,Kraton,Patehan,"35",110.360425349505,-7.81097482439004
Yogyakarta,Mantrijeron,Gedongkiwo,"36",110.353799778601,-7.81732723043708
Yogyakarta,Umbulharjo,Pandeyan,"37",110.387658017601,-7.81700331588502
Yogyakarta,Mantrijeron,Suryodiningratan,"38",110.358832792134,-7.8192200820577
Yogyakarta,Kotagede,Prenggan,"39",110.396242129196,-7.82197300150494
Yogyakarta,Mantrijeron,Mantrijeron,"40",110.364907662013,-7.82023333438094
Yogyakarta,Umbulharjo,Sorosutan,"41",110.380378610715,-7.8233743777266
Yogyakarta,Mergangsan,Brontokusuman,"42",110.371619367058,-7.82032155017472
Yogyakarta,Kotagede,Purbayan,"43",110.40190380781,-7.82709540855023
Yogyakarta,Umbulharjo,Giwangan,"44",110.389815447371,-7.8305960103527
Yogyakarta,Ngampilan,Ngampilan,"45",110.358577872213,-7.79842928428556
